nohup: ignoring input
INFO 2026-02-24 09:11:25,947 autoreload 56866 124455267594368 Watching for file changes with StatReloader
INFO 2026-02-24 09:11:26,325 server 56866 124455196194496 HTTP/2 support not enabled (install the http2 and tls Twisted extras)
INFO 2026-02-24 09:11:26,325 server 56866 124455196194496 HTTP/2 support not enabled (install the http2 and tls Twisted extras)
DEBUG 2026-02-24 09:18:02,011 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 49984]
DEBUG 2026-02-24 09:18:02,012 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 49984]
DEBUG 2026-02-24 09:18:02,012 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 49984]
DEBUG 2026-02-24 09:18:02,012 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 49984]
DEBUG 2026-02-24 09:18:02,012 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 49984]
INFO 2026-02-24 09:18:02,012 runserver 56866 124455196194496 HTTP GET /api/v1/assets/e2105e63-498a-4c44-a33f-08c2b3d2e9c1/ 200 [0.03, 127.0.0.1:49984]
DEBUG 2026-02-24 09:18:02,017 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 50000]
DEBUG 2026-02-24 09:18:02,017 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 50000]
DEBUG 2026-02-24 09:18:02,044 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 50000]
DEBUG 2026-02-24 09:18:02,044 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 50000]
DEBUG 2026-02-24 09:18:02,044 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 50000]
DEBUG 2026-02-24 09:18:02,044 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 50000]
DEBUG 2026-02-24 09:18:02,045 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 50000]
DEBUG 2026-02-24 09:18:02,045 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 50000]
